UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WANCP,North Cascades NP,Thunder Creek,2015-05-30,103.0,Lightning,Darrington,Snohomish County
WANES,Washington DNR,Egypt Loop 2,2015-06-15,210.0,Undetermined,Davenport,Lincoln County
WAMCR,Mid Columbia NWR,Saddle Lakes,2015-06-28,14449.0,Lightning,Royal City,Grant County
WASES,Washington DNR,Sleepy Hollow,2015-06-28,2954.0,Undetermined,West Wenatchee,Chelan County
WAWFS,Washington Fire Ser,Junction,2015-07-05,981.0,Undetermined,Goldendale,Klickitat County
WASES,Washington DNR,Davies Pass,2015-07-02,1300.0,Undetermined,Goldendale,Klickitat County
WASPD,Spokane BLM,Beezley Hill,2015-07-05,1715.0,Undetermined,Quincy,Grant County
WASPD,Spokane BLM,Willow Springs,2015-07-05,486.0,Undetermined,Quincy,Grant County
WACOA,Colville Agency,Twenty-One Mile Grade,2015-07-01,2252.0,Human,Republic,Ferry County
WANES,Washington DNR,231,2015-07-03,971.0,Human,Deer Park,Spokane County
WANES,Washington DNR,Little Spokane,2015-07-11,168.0,Undetermined,Fairwood,Spokane County
WAGPF,Gifford Pinchot NF,Horseshoe,2015-07-03,340.0,Lightning,White Salmon,Klickitat County
WAGPF,Gifford Pinchot NF,Riley,2015-07-09,65.0,Lightning,White Salmon,Klickitat County
WAOWF,Okan-Wen NF,Wildhorse,2015-07-20,163.0,Lightning,Oroville,Okanogan County
WAPCS,Washington DNR,Colvin Creek,2015-07-19,111.0,Human,La Center,Clark County
WASES,Washington DNR,Blue Creek,2015-07-20,5993.0,Undetermined,Walla Walla East,Walla Walla County
WACOF,Colville Forest,North Boulder 2,2015-07-20,233.0,Lightning,Kettle Falls,Stevens County
WAWFS,Washington Fire Ser,Gilmore Gulch,2015-07-05,7488.0,Undetermined,Asotin,Asotin County
WANCP,North Cascades NP,Goode,2015-07-29,479.0,Undetermined,Darrington,Snohomish County
WAWFS,Washington Fire Ser,Hwy 8,2015-08-04,33105.0,Undetermined,Mabton,Yakima County
WAPCS,Washington DNR,Gish,2015-08-09,101.0,Undetermined,Napavine,Lewis County
WANES,Washington DNR,9 Mile,2015-08-13,4720.0,Undetermined,Oroville,Okanogan County
WACOF,Colville Forest,Baldy,2015-08-01,515.0,Undetermined,Chewelah,Stevens County
WANES,Washington DNR,Roy,2015-08-14,120.0,Undetermined,Republic,Ferry County
WANCP,North Cascades NP,Rocky Beaver,2015-08-10,141.0,Lightning,Darrington,Snohomish County
WANCP,North Cascades NP,Snowfield,2015-08-10,184.0,Undetermined,Darrington,Snohomish County
WANCP,North Cascades NP,Goodell,2015-08-10,7118.0,Lightning,Darrington,Snohomish County
WANCP,North Cascades NP,Cat Island,2015-08-10,148.0,Lightning,Darrington,Snohomish County
