UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WANES,WA DNR - NE REGION,BLUEHOO FIRE (HIGHLANDS COMPLEX),2004-08-19,10.26878534,UNKNOWN
WACOA,COLVILLE AGENCY,HOPKINS CANYON FIRE (HOPKINS CANYON COMPLEX),2004-06-26,5071.7412695,UNKNOWN
WAOWF,OKAN-WEN NF,ICICLE,2004-07-15,696.92253057,UNKNOWN
WASES,WA DNR - SE REGION,LAUDERDALE,2004-07-25,247.8296494,ARSON
WAOWF,OKAN-WEN NF,MEBEE FIRE (WILLIAMS BUTTE COMPLEX),2004-08-10,234.37441537,LIGHTNING
WANES,WA DNR - NE REGION,MILL CANYON FIRE (MILL CANYON COMPLEX),2004-08-01,1090.03615537,RECREATION
WASES,WA DNR - SE REGION,MUD LAKE,2004-08-10,3864.29302832,UNKNOWN
WAOWF,OKAN-WEN NF,PEEVE FIRE (WILLIAMS BUTTE COMPLEX),2004-07-30,51.23623571,UNKNOWN
WAOWF,OKAN-WEN NF,POT PEAK FIRE (POT PEAK / SISI RIDGE COMPLEX),2004-06-26,15395.140224899998,LIGHTNING
WAOWF,OKAN-WEN NF,,2004-06-26,1.77180461,UNKNOWN
WAOWF,OKAN-WEN NF,RATTLESNAKE PEAK,2004-07-18,662.25788606,UNKNOWN
WAOWF,OKAN-WEN NF,REECER,2004-04-27,107.75963673,CAMPFIRE
WAOWF,OKAN-WEN NF,SISI RIDGE FIRE (POT PEAK / SISI RIDGE COMPLEX),2004-06-19,343.19843432,LIGHTNING
WAOWF,OKAN-WEN NF,WILLIAMS BUTTE FIRE (WILLIAMS BUTTE COMPLEX),2004-08-16,1257.84650291,LIGHTNING
WANES,WA DNR - NE REGION,BURNT BREAD,2005-08-06,1351.45740167,UNKNOWN
WASES,WA DNR - SE REGION,DIRTY FACE FIRE,2005-07-30,1150.52522308,UNKNOWN
WANES,WA DNR - NE REGION,HARKER CANYON,2005-08-10,1557.29132443,UNKNOWN
WASPA,SPOKANE AGENCY,HOT FALLS,2005-07-15,174.4137027,ARSON
WASES,WA DNR - SE REGION,LICK CREEK,2005-08-04,734.67808219,EQUIPMENT USE
WANES,WA DNR - NE REGION,MARTIN ROAD FIRE,2005-09-28,877.5770755000001,DEBRIS BURN
WANES,WA DNR - NE REGION,PEARRYGIN LAKE,2005-07-03,531.28786895,UNKNOWN
ORUMF,UMATILLA NF,SCHOOL FIRE,2005-08-05,49684.75034004,UNKNOWN
WACOA,COLVILLE AGENCY,SECOND HUD,2005-07-06,4176.06234755,UNKNOWN
WANCP,NORTH CASCADES NP,SHADY,2005-07-19,153.16695794,UNKNOWN
WAWFS,WA FIRE SERVICE,BADGER MOUNTAIN FIRE (BADGER MTN COMPLEX),2008-07-10,13265.63743152,UNKNOWN
WASPD,SPOKANE BLM,SPUD FIRE,2005-06-28,123.42634311,UNKNOWN
WANES,WA DNR - NE REGION,SQUAW CREEK,2005-09-08,1097.04661729,ELECTRIC FENCE
WAMCR,MID COLUMBIA NWR,WEATHER STATION,2005-07-05,4914.72714895,UNKNOWN
WACOA,COLVILLE AGENCY,WEST LAKE OMAK,2005-07-12,11264.63688587,EQUIPMENT USE
WASES,WA DNR - SE REGION,WOOD GULCH,2005-07-23,5751.16107854,UNKNOWN
WAOLP,OLYMPIC NP,BEAR GULCH II,2006-07-25,797.59432903,UNKNOWN
WANES,WA DNR - NE REGION,BISBEE MTN. FIRE,2006-09-09,485.10347565,UNKNOWN
WAOWF,OKAN-WEN NF,CEDAR CREEK (TRIPOD COMPLEX),2006-08-22,1631.10970282,LIGHTNING
WA,UNKNOWN,NINEMILE,1991-08-01,15044.23400608,UNKNOWN
WA,UNKNOWN,CHATTAROY,1991-08-01,4728.47892308,UNKNOWN
WA,UNKNOWN,UNKNOWN,1985-01-01,184.77554397,UNKNOWN
WA,UNKNOWN,PONDEROSA,1991-08-01,1474.66884633,UNKNOWN
WA,UNKNOWN,JENNINGS ROAD,1991-08-01,283.505668,UNKNOWN
WA,UNKNOWN,NINEMILE RD,1996-01-01,3019.12954666,UNKNOWN
WA,UNKNOWN,RAMBO RD,1991-08-01,268.75578117,UNKNOWN
WA,UNKNOWN,GREENBLUFF,1991-08-01,98.2191027,UNKNOWN
WA,UNKNOWN,LEESON PIT,1991-08-01,146.57213128,UNKNOWN
WA,UNKNOWN,TEMPLE,1991-08-01,190.32213411,UNKNOWN
WA,UNKNOWN,HOLCOMB,1991-08-01,744.13699858,UNKNOWN
WA,UNKNOWN,TRENT,1991-08-01,797.31130449,UNKNOWN
WA,UNKNOWN,HANGMAN,1991-08-01,131.05694066,UNKNOWN
WANCP,NORTH CASCADES NP,YAXON,2010-07-29,6.68998526,LIGHTNING
WA,UNKNOWN,HOMESTEAD,1991-08-01,283.16590539,UNKNOWN
WASES,WA DNR - SE REGION,COLUMBIA COMPLEX,2006-08-21,109401.7753911,UNKNOWN
WASPS,WA DNR - SPS REGION,DEWATTO 2,2006-09-02,61.2668931,ARSON
WAOWF,OKAN-WEN NF,FLICK CREEK,2006-07-07,7888.75476548,CAMPFIRE
WAMSF,MT. BAKER-SNOQ NF,GREENWATER 7440,2006-09-02,193.16638966,UNKNOWN
WAYAA,BIA - YAKIMA,JUNGLE BUTTE (JUNGLE BUTTE COMPLEX),2006-09-04,92.94075285,UNKNOWN
WAYAA,BIA - YAKIMA,KLOSE BUTTE (JUNGLE BUTTE COMPLEX),2007-09-04,36.79927484,UNKNOWN
WAYAA,BIA - YAKIMA,PEAVINE RIDGE (JUNGLE BUTTE COMPLEX),2006-09-04,321.59226433,UNKNOWN
WAOWF,OKAN-WEN NF,POLALLIE,2006-09-04,961.6584333999999,LIGHTNING
WANES,WA DNR - NE REGION,QUINN'S MEADOW,2006-08-29,323.23782876,DEBRIS BURN
WAOWF,OKAN-WEN NF,TATOOSH (TATOOSH COMPLEX),2006-08-22,54331.78201564,UNKNOWN
WAOWF,OKAN-WEN NF,TINPAN,2006-07-07,9253.1123814,LIGHTNING
WANES,WA DNR - NE REGION,VALLEY MILL,2006-08-08,460.53613966,DEBRIS BURN
WAOWF,OKAN-WEN NF,VAN PEAK,2006-09-04,1815.93883514,LIGHTNING
WAWFS,WA FIRE SERVICE,LEWIS AND CLARK,2007-06-13,752.88580539,EQUIPMENT USE
WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - SIXPRONG,2007-07-13,20395.00144907,LIGHTNING
WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - WOODGULCH,2007-07-13,7665.65524937,UNKNOWN
WACOF,COLVILLE NF,CROWN CREEK,2007-07-13,34.56344748,LIGHTNING
WANES,WA DNR - NE REGION,MOSES - DNR COMPLEX,1991-08-01,4440.2636862,UNKNOWN
WA,UNKNOWN,MARSHALL,1991-08-01,988.30662769,UNKNOWN
WA,UNKNOWN,HAPPY HILL,1991-08-01,624.0279782,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,GOLD HILL,2009-07-30,18.88934802,UNKNOWN
WACOA,COLVILLE AGENCY,MILEPOST 281,2009-09-01,310.06666942,UNKNOWN
WA,UNKNOWN,EXCELSIOR ROAD,1987-01-01,1255.68839052,UNKNOWN
WA,UNKNOWN,SALNAVE,1991-08-01,463.60812165,UNKNOWN
WA,UNKNOWN,SPRINGDALE,1991-08-01,628.65719782,UNKNOWN
WAWFS,WA FIRE SERVICE,BROWNS CANYON FIRE (BADGER MTN COMPLEX),2008-07-09,1782.34822885,UNKNOWN
WAWFS,WA FIRE SERVICE,BAIRD SPRINGS,2008-06-15,3645.75496607,UNKNOWN
WACOA,COLVILLE AGENCY,COLUMBIA RIVER ROAD,2008-08-07,22155.09265476,ARSON
WACOA,COLVILLE AGENCY,FRENCH VALLEY,2008-07-10,1366.42475276,UNKNOWN
